id_code,raw_prediction,rounded_prediction,true_label,margin
b37aae3c8fe1,1.2275260074529797,1,4,2.7724739925470203
eaa0dfbd5024,1.532918332610279,2,4,2.4670816673897207
8bed09514c3b,1.5430608252063394,2,4,2.4569391747936606
fce93caa4758,1.917640142142773,2,4,2.0823598578572273
1bf30c84bbad,1.9982239175587893,2,4,2.0017760824412107
1c4f3aa4df06,2.1812760904431343,2,4,1.8187239095568657
735836b1ffa6,1.796254400163889,2,0,1.796254400163889
6cd606dc52e9,2.2307182401418686,2,4,1.7692817598581314
63b4d030b016,2.270217746496201,2,4,1.729782253503799
8fd7ad26e691,2.27985505387187,2,4,1.72014494612813
cd54d022e37d,2.2972971573472023,2,4,1.7027028426527977
4360a112db10,1.5049512768164277,2,3,1.4950487231835723
e3ab63dc9a60,2.534019745886326,2,4,1.4659802541136742
82bb8a01935f,2.585408814251423,2,4,1.4145911857485771
7c90ab025331,2.595535211265087,2,4,1.4044647887349129
f03d3c4ce7fb,2.612274244427681,2,4,1.387725755572319
80964d8e0863,2.668145038187504,3,4,1.3318549618124962
f6f7dba7104d,2.199985094368458,2,1,1.1999850943684578
ee1ec90b980f,2.8032239377498627,3,4,1.1967760622501373
c9485c38fdd5,2.150123044848442,2,1,1.150123044848442
253e96488cfb,1.1345566359814256,1,0,1.1345566359814256
7a6e384a0846,1.871161913499236,2,3,1.128838086500764
e4730ddde408,2.8795434371568263,3,4,1.1204565628431737
b9127e38d9b9,3.11234334949404,3,2,1.11234334949404
f576e45d1da2,1.9049329292029145,2,3,1.0950670707970855
da6389d129aa,1.052413567318581,1,0,1.052413567318581
82910bba4753,3.027034440310672,3,2,1.027034440310672
4462fba1d2a1,2.974537921138108,3,4,1.0254620788618918
a28bfb772f50,1.9910888336598875,2,1,0.9910888336598875
51131b48f9d4,1.9880669750273228,2,1,0.9880669750273228
e34fa07bd64d,2.9805307257920504,3,2,0.9805307257920504
89ed6a0dd53f,1.9760210067033768,2,1,0.9760210067033768
ef8109305128,1.9484785795211792,2,1,0.9484785795211792
959dc602febc,2.943115469999612,3,2,0.9431154699996118
2d07162a13b1,0.9429325695382432,1,0,0.9429325695382432
262ad704319c,3.0626044140663,3,4,0.9373955859337002
1269ab57c2e6,1.0868664171139244,1,2,0.9131335828860756
3435fd8675a2,3.903684068936855,4,3,0.903684068936855
b1f4122fd36a,2.8963692113757133,3,2,0.8963692113757133
a150ff5dfe07,2.861952066421509,3,2,0.8619520664215088
e150935f66a6,1.1485918229445815,1,2,0.8514081770554185
7877be80901c,2.8490630201995373,3,2,0.8490630201995373
ee2c2a5f7d0e,2.8490630201995373,3,2,0.8490630201995373
7102f29e052e,2.8312765639275312,3,2,0.8312765639275312
23175b7ef453,2.8199375197291374,3,2,0.8199375197291374
82ac8463fadd,0.1885468710679561,0,1,0.8114531289320439
96793edb1003,0.8106058333069086,1,0,0.8106058333069086
b35cad8fe2d7,0.799692626693286,1,0,0.799692626693286
9ed666e982cd,1.7946706265211103,2,1,0.7946706265211103
8f318a978844,3.2063818853348494,3,4,0.7936181146651506
